smiles,ld50_zhu
CC(C)c1s[nH]c2nc(C(C)(C)C)nc(=O)c1-2,1.392
Cc1ccc(C(C)C)cc1O,2.268
CC(C)c1cccc(OC(=O)N(C)N=O)c1,2.745
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.522
Cc1ccc(C(C)C)cc1,1.4509999999999998
Cc1ccc(C(C)C)c(O)c1,2.185
CC(C)c1ccc(C#N)cc1,1.571
CC(C)c1ccc(C=O)cc1,2.028
CC(C)c1ccc(CC=O)cc1,1.597
CC(C)c1ccc(CCO)cc1,1.96
CC(C)c1ccc(CO)cc1,2.168
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.053
CC(C)c1cccc(C(C)C)c1N,1.743
CC(C)c1cccc(OC(=O)N(C)C)c1,3.112
CC(C)c1ccccc1,1.934
CC(C)c1ccccc1N,2.059
CC1=CCC(C(C)C)=CC1,1.5719999999999998
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,2.066
CC1=CC(=O)C(C(C)C)CC1,1.793
CC1CCC(C(C)C)C(=O)C1,2.489
CC1CCC(C(C)C)C(O)C1,1.6909999999999998
CC(C)C1CCC(O)CC1,1.714
CC(C)CC(=O)CC(C)C,1.393
CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.238
C=CCOC(=O)CC(C)C,2.7910000000000004
CC(=O)CC(C)C,1.683
CC(C)CC(C)CC(CC(C)C)OCCO,1.633
CC(C)CC(C)CC(O)CC(C)C,1.04
C=COCC(C)CCCC(C)CC(C)C,2.241
CC(C)CC(C)O,1.596
CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,1.588
CC(=O)OC(C)CC(C)C,1.369
CC(C)CC(CC(C)C)OCCOCCO,1.4280000000000002
CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCNC(=N)N,2.773
CC(C)CC(=O)O,1.7080000000000002
CC(C)CC(O)CC(C)C,1.659
CC(C)CC(O)CC(CC(C)C)CC(C)C,1.155
CC(C)CC=O,1.187
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,2.315
CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.511
CC(=O)CCC(C)C,1.5519999999999998
CC(C)CCC(=O)O,1.753
CC(C)CCC=O,1.248
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.962
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.751
Cc1c(C)c2c(c(C)c1OC(=O)C(C)(C)Oc1ccc(Cl)cc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.621
CC(C)CCCC(C)N,2.381
CC(C)CCCCCCO,1.685
CC(C)CCCCCN(CCCCCC(C)C)CCCCCC(C)C,2.339
CC(C)CCCO,1.196
CC(C)CCO,1.831
CC(C)CCOC(=O)c1ccccc1,1.482
CC(=O)OCCC(C)C,0.894
CC(C)CCOC(CO)CC(C)C,1.5419999999999998
CC(C)CCOC=O,1.072
CC(C)CCON=O,2.365
CC(C)CCP(CCC(C)C)CCC(C)C,2.039
CC(C)CN,2.506
CC(C)Cn1nc(-c2ccccc2)c(-c2ccccc2)c1CC(=O)O,3.862
CC(C)CNCC(C)C,2.7
CC(C)CO,1.479
C=CC(=O)OCC(C)C,1.258
CC(C)COC(=O)C=CC(=O)OCC(C)C,1.449
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.268
CC(C)COC(=O)c1ccccc1O,2.095
CC(C)COC(=O)CCc1ccco1,2.003
CC(=O)OCC(C)C,0.938
C=COCC(C)C,0.77
CC(C)CON=O,2.401
CC(C)COP(C)(=S)SCN1C(=O)c2ccccc2C1=O,3.968
CC(C)N,1.858
CC(C)[N+](=O)[O-],2.093
CC(C)N(C(=O)CCl)c1ccccc1,2.474
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,2.5810000000000004
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,2.835
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,3.008
CC(C)N(CCO)C(C)C,2.133
CC(C)N(N=O)C(C)C,2.185
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1.751
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2.339
Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,1.861
CC(C)N1CCNCC1,1.656
Cc1cc(OC(=O)N(C)C)n(C(C)C)n1,4.291
CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.053
CC(C)NC(=S)NC(C)C,2.552
CC(C)Nc1ccc(Nc2ccccc2)cc1,2.497
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,1.777
CC(C)NCC(O)c1cc(O)cc(O)c1,1.797
CC(C)NCC(O)c1ccc(O)c(O)c1,2.775
CC(C)NCC(O)c1ccc2ccccc2c1,2.406
CC(C)NCC(O)COc1cccc2ccccc12,2.594
CC(C)NCC(O)COc1cccc2[nH]ccc12,2.975
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1.948
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,1.887
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1,3.969
CC(C)NCCCN(C)C,2.045
CC(C)NNC(=O)c1ccncc1,2.6910000000000003
CC(C)NNC(=O)COc1ccc(Cl)cc1,2.645
CC(C)NP(O)(=S)Oc1cc(Cl)c(Cl)cc1Cl,4.033
CC(C)O,1.0759999999999998
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1,2.387
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.832
CC(C)OC(=O)C=CC(=O)OC(C)C,1.79
CC(C)OC(=O)c1ccccc1,1.644
CC(C)OC(=O)CCCCCCN,1.67
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,2.846
CC(=O)ON(C(=O)OC(C)C)c1ccccc1,1.844
CC(C)OC(=O)Nc1cccc(Cl)c1,2.251
CC(C)OC(=O)Nc1ccccc1,2.253
CC(=O)OC(C)C,1.5319999999999998
CC(C)OC(C)C,1.081
CC(C)OC(=O)Cl,2.059
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,1.994
CC(C)OCC1CO1,1.442
CC(C)OCCCO,1.47
CC(C)OCCO,1.265
CC(C)OP(=O)(OC(C)C)OP(=S)(CCl)OC(C)C,4.292
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,2.77
CC(C)OP(=S)(CCl)Sc1ccc(Br)cc1,4.194
Cc1ccc(SP(=S)(CCl)OC(C)C)cc1,3.16
CC(C)OP(=S)(CCl)Sc1ccc(Cl)cc1,4.084
CC(C)OP(=S)(CCl)Sc1ccc(F)cc1,3.884
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,3.1660000000000004
CC(C)OP(=S)(OC(C)C)SCSC(C)C,4.782
CC(C)OP(C)(=O)OC(C)C,2.339
CC(C)OP(C)(=S)Oc1cc(Cl)c(Br)cc1Cl,3.714
CC(C)OP(C)(=O)F,5.4060000000000015
CC(C)OP(=O)(F)OC(C)C,4.566
CC(C)OS(=O)(=O)OC(C)C,2.2230000000000003
C=CC(C)=CCCC(C)(C)O,1.958
C=CC(C)C(C)C=O,1.297
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,2.156
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,2.185
CC(C=O)=Cc1ccccc1,1.853
Cc1ccc(C(C)C=O)cc1,1.6269999999999998
CC(C=O)c1ccccc1,1.681
CC(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.4
C=CCOC(=O)CC(C)CC(C)(C)C,2.151
CC(=O)OC(C)CC(C)(C)OC(C)=O,1.78
CC(CC=O)CC(C)(C)C,1.642
CC(CC=O)CC=O,2.165
CC(C=O)Cc1ccc(C(C)(C)C)cc1,1.742
CC(C=O)Cc1ccc(C(C)C)cc1,1.6980000000000002
CC(Cc1ccccc1)NN,3.645
CC(Cc1ccccc1)OC(N)=O,2.212
CC(C=O)CCC(C)(O)C=O,1.429
CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,2.003
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1.992
CC(C)=CCCC(C)CC#N,1.455
CC(C)=CCCC(C)CC(=O)O,1.814
C=CC(C)CCCC(C)(C)O,1.638
CC(CCl)OC(C)CCl,2.853
CC(CCN(C)C)N(C)C,2.2840000000000003
CC(C)=CCCC(C)CCO,1.656
C=CC(=O)OCCC(C)OC(=O)C=C,1.7480000000000002
CC(C)=CCCC(C)CCOC=O,1.341
CC(Cl)(C=O)CCl,1.94
CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,2.564
CC(Cl)(Cl)C(=O)O,2.168
CC(Cl)(Cl)CCl,2.079
CC(Cl)(Cl)Cl,1.112
CC(Cl)=CCl,1.744
CC(=O)Cl,1.936
CC(Cl)C(Cl)Cl,2.079
CC(Cl)C(=O)O,2.337
CC(Cl)CCl,1.764
CC(Cl)Cl,2.135
CC(Cl)CO,2.637
